it,alpha_cvar,alpha_pow,ent_cvar,ent_pow,pstd_a_steer,pstd_a_thr,qspread_a,pstd_b_steer,pstd_b_thr,qspread_b,v_cap,k_slip,mu_min,mu_max,r_a,r_b,term,off_a,off_b,crash_a,crash_b,flip_a,flip_b,spun_a,spun_b,obs_a,obs_b
1568200,0.5379,0.5379,-8.2952,-7.2079,0.0109,0.0000,0.1608,0.0152,0.0151,0.6986,10.00,0.200,0.850,1.100,0.0168,0.0700,0.0059,0.00122,0.00073,0.00000,0.00049,0.00000,0.00000,0.00024,0.00000,0.00195,0.00122
1568400,0.5379,0.5379,-8.2952,-7.2079,0.0086,0.0000,0.2420,0.0128,0.0229,0.5589,10.00,0.200,0.850,1.100,0.0260,0.0505,0.0061,0.00171,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00342
1568600,0.5379,0.5379,-8.3357,-7.2803,0.0113,0.0000,0.3179,0.0137,0.0102,0.6822,10.00,0.200,0.850,1.100,0.0259,0.0942,0.0034,0.00146,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00122
1568800,0.5379,0.5379,-8.3357,-7.2803,0.0076,0.0000,0.1911,0.0157,0.0477,0.8562,10.00,0.200,0.850,1.100,0.0219,0.0770,0.0032,0.00073,0.00000,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00098,0.00122
1569000,0.5379,0.5379,-8.3357,-7.2803,0.0092,0.0000,0.2401,0.0176,0.0156,0.8656,10.00,0.200,0.850,1.100,0.0157,0.0813,0.0039,0.00122,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00146
1569200,0.5379,0.5379,-8.3003,-7.1798,0.0079,0.0000,0.2806,0.0320,0.0230,0.6419,10.00,0.200,0.850,1.100,0.0128,0.0734,0.0046,0.00146,0.00024,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00146,0.00146
1569400,0.5379,0.5379,-8.3003,-7.1798,0.0084,0.0000,0.2599,0.0214,0.0220,0.7970,10.00,0.200,0.850,1.100,0.0074,0.0847,0.0042,0.00171,0.00000,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00122,0.00098
1569600,0.5379,0.5379,-8.2835,-7.1928,0.0070,0.0000,0.1585,0.0111,0.0282,0.9727,10.00,0.200,0.850,1.100,0.0221,0.1254,0.0005,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1569800,0.5379,0.5379,-8.2835,-7.1928,0.0124,0.0000,0.2324,0.0098,0.0218,0.9119,10.00,0.200,0.850,1.100,0.0159,0.0807,0.0044,0.00171,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00146
1570000,0.5379,0.5379,-8.2835,-7.1928,0.0087,0.0000,0.3123,0.0197,0.0158,0.5707,10.00,0.200,0.850,1.100,-0.0108,0.0802,0.0078,0.00464,0.00049,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00098,0.00146
